"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-01-17T19:10:41Z"
"Version","20230117191041"
"OfferCode","AmazonChimeBusinessCalling"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","FromCountry","messagetype","NumberType","Region Code","serviceName","ToCountry"
"3RU79UKUN2C36CUT","JRTCKXETXF","3RU79UKUN2C36CUT.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Romania","2021-02-01","0","Inf","minutes","0.0362700000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-RO-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Romania"
"3XFN6KD37XJDKVFU","JRTCKXETXF","3XFN6KD37XJDKVFU.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Eritrea to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-ER-US-sms-message-Received","","Eritrea","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"3ZB57A7EMS9M7Y73","JRTCKXETXF","3ZB57A7EMS9M7Y73.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Puerto Rico","2021-02-01","0","Inf","minutes","0.0060000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-PR-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Puerto Rico"
"42A9AS3TQVFBBYYV","JRTCKXETXF","42A9AS3TQVFBBYYV.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Taiwan","2021-02-01","0","Inf","minutes","0.1596000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-TW-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Taiwan"
"4P8CNARG6RRCWGKZ","JRTCKXETXF","4P8CNARG6RRCWGKZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Hungary to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-HU-US-sms-message-Received","","Hungary","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"4TJGDMRCJ4QCWR3M","JRTCKXETXF","4TJGDMRCJ4QCWR3M.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Lebanon","2021-02-01","0","Inf","minutes","0.3949500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-LB-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Lebanon"
"4WH6YJKC5TTF7WB5","JRTCKXETXF","4WH6YJKC5TTF7WB5.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from China to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-CN-US-sms-message-Received","","China","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"54HV6SVF8VWZ9K4Z","JRTCKXETXF","54HV6SVF8VWZ9K4Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Belize","2021-02-01","0","Inf","minutes","0.4195500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-BZ-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Belize"
"57PKR2M68CWEMSWN","JRTCKXETXF","57PKR2M68CWEMSWN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Netherlands Antilles","2021-02-01","0","Inf","minutes","0.2298000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-NL-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Netherlands Antilles"
"57W8ZEJZTNX2NDQM","JRTCKXETXF","57W8ZEJZTNX2NDQM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per sms-message for VI-US-sms-message-Received in US East (N. Virginia)","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-VI-US-sms-message-Received","","United States of America","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Virgin Islands"
"5AGC7XN8VMP2USHE","JRTCKXETXF","5AGC7XN8VMP2USHE.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to United Kingdom","2021-02-01","0","Inf","minutes","0.0190000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-GB-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United Kingdom"
"5B289WC72E2SF432","JRTCKXETXF","5B289WC72E2SF432.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Japan to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-JP-US-sms-message-Received","","Japan","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"5NPSXCD3E5MA7PFN","JRTCKXETXF","5NPSXCD3E5MA7PFN.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Guinea-Bissau to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-GW-US-sms-message-Received","","Guinea-Bissau","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"5SEUTUCYRN73DXYN","JRTCKXETXF","5SEUTUCYRN73DXYN.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from British Indian Ocean Territory to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-IO-US-sms-message-Received","","British Indian Ocean Territory","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"5V4MWC3FXJ8FVEN9","JRTCKXETXF","5V4MWC3FXJ8FVEN9.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Guadeloupe to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-GP-US-sms-message-Received","","Guadeloupe","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"62V7DFE8AATHXFAQ","JRTCKXETXF","62V7DFE8AATHXFAQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message sent from United States of America to Venezuela","2021-02-01","0","Inf","sms-message","0.1200000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-VE-sms-message-Sent","","United States of America","Sent",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Venezuela"
"674SHMTGVNXCTK9Q","JRTCKXETXF","674SHMTGVNXCTK9Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Switzerland","2021-02-01","0","Inf","minutes","0.1926000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-CH-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Switzerland"
"69SDEUD8C3FKABXG","JRTCKXETXF","69SDEUD8C3FKABXG.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Gibraltar to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-GI-US-sms-message-Received","","Gibraltar","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"6A5YMEMDM9EMTERB","JRTCKXETXF","6A5YMEMDM9EMTERB.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Guinea to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-GN-US-sms-message-Received","","Guinea","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"6CKM65VJ47BWYAS3","JRTCKXETXF","6CKM65VJ47BWYAS3.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Burundi to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-BI-US-sms-message-Received","","Burundi","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"6DG2PAWWSXXZ98RQ","JRTCKXETXF","6DG2PAWWSXXZ98RQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Jamaica to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-JM-US-sms-message-Received","","Jamaica","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"6YGEAFU5DP777WAD","JRTCKXETXF","6YGEAFU5DP777WAD.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message sent from United States of America to St. Maarten","2021-02-01","0","Inf","sms-message","0.0020000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-SX-sms-message-Sent","","United States of America","Sent",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","St. Maarten"
"72GBRJGAK9KJQYYY","JRTCKXETXF","72GBRJGAK9KJQYYY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Bangladesh","2021-02-01","0","Inf","minutes","0.0646500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-BD-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Bangladesh"
"7538CHMYFPM9G7Q6","JRTCKXETXF","7538CHMYFPM9G7Q6.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Japan","2021-02-01","0","Inf","minutes","0.0648000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-JP-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Japan"
"76AZDDRW6YUKEEMD","JRTCKXETXF","76AZDDRW6YUKEEMD.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Bhutan","2021-02-01","0","Inf","minutes","0.1726500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-BT-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Bhutan"
"7GQ87A2PRSJMU3M6","JRTCKXETXF","7GQ87A2PRSJMU3M6.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Indonesia to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-ID-US-sms-message-Received","","Indonesia","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"7HDU5PPV8NM4VRG6","JRTCKXETXF","7HDU5PPV8NM4VRG6.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Czech Republic to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-CZ-US-sms-message-Received","","Czech Republic","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"7VDAATXGMQDYX9B9","JRTCKXETXF","7VDAATXGMQDYX9B9.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Albania to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-AL-US-sms-message-Received","","Albania","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"83YT6AXK6BZJWXUX","JRTCKXETXF","83YT6AXK6BZJWXUX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Bermuda","2021-02-01","0","Inf","minutes","0.0862500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-BM-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Bermuda"
"843G7SSAPN7RH6T5","JRTCKXETXF","843G7SSAPN7RH6T5.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message sent from United States of America to United States of America","2021-02-01","0","Inf","sms-message","0.0150000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-US-sms-message-Sent","","United States of America","Sent",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"866Y3NFVJQDTK6UC","JRTCKXETXF","866Y3NFVJQDTK6UC.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Israel","2021-02-01","0","Inf","minutes","0.0386800000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-IL-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Israel"
"88MC362JP6NWUTW9","JRTCKXETXF","88MC362JP6NWUTW9.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to France","2021-02-01","0","Inf","minutes","0.0692000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-FR-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","France"
"8CNE364TZVPHCVE7","JRTCKXETXF","8CNE364TZVPHCVE7.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Greece","2021-02-01","0","Inf","minutes","0.2566900000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-GR-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Greece"
"8DRC9R2WB99K45CU","JRTCKXETXF","8DRC9R2WB99K45CU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.038 per minutes for US-AT-outbound-minutes in US East (N. Virginia)","2021-02-01","0","Inf","minutes","0.0380000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-AT-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Austria"
"8JHNXR8RTKTTTFSZ","JRTCKXETXF","8JHNXR8RTKTTTFSZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls received in the US","2021-02-01","0","Inf","inbound_minutes","0.0022160000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-inbound-minutes","",,,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"8JQSXXZ79Z7WZXFD","JRTCKXETXF","8JQSXXZ79Z7WZXFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Costa Rica to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-CR-US-sms-message-Received","","Costa Rica","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"8KA8X2BVWG7EFSVU","JRTCKXETXF","8KA8X2BVWG7EFSVU.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Austria to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-AT-US-sms-message-Received","","Austria","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"8KTMT4Z8GDDHYKPX","JRTCKXETXF","8KTMT4Z8GDDHYKPX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Armenia","2021-02-01","0","Inf","minutes","0.4593000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-AM-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Armenia"
"8MH8HHDNWJ64UEGR","JRTCKXETXF","8MH8HHDNWJ64UEGR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to India","2021-02-01","0","Inf","minutes","0.0220500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-IN-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","India"
"8UQKGKQJPMUDPNNR","JRTCKXETXF","8UQKGKQJPMUDPNNR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Liechtenstein","2021-02-01","0","Inf","minutes","0.4264500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-LI-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Liechtenstein"
"92P3YEX379WWH4QR","JRTCKXETXF","92P3YEX379WWH4QR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per sms-message for SX-US-sms-message-Received in US East (N. Virginia)","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-SX-US-sms-message-Received","","St. Maarten","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"96KF35V4Y9QAF4AD","JRTCKXETXF","96KF35V4Y9QAF4AD.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Faroe Islands","2021-02-01","0","Inf","minutes","0.4429500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-FO-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Faroe Islands"
"96VC9VJFKHUYTM4U","JRTCKXETXF","96VC9VJFKHUYTM4U.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Sweden","2021-02-01","0","Inf","minutes","0.0253600000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-SE-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Sweden"
"98KJU3D2KAGH8BZY","JRTCKXETXF","98KJU3D2KAGH8BZY.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Guam to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-GU-US-sms-message-Received","","Guam","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"995B83KMVGTBWC78","JRTCKXETXF","995B83KMVGTBWC78.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Greenland to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-GL-US-sms-message-Received","","Greenland","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"99UKSJ2DH3H8RZQG","JRTCKXETXF","99UKSJ2DH3H8RZQG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Bolivia","2021-02-01","0","Inf","minutes","0.4209000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-BO-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Bolivia"
"9CJ7GWEGXTFUNVD9","JRTCKXETXF","9CJ7GWEGXTFUNVD9.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Saint Barthelemy","2021-02-01","0","Inf","minutes","0.2091000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-BL-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Saint Barthelemy"
"9EWZMGHFQVGZ88FV","JRTCKXETXF","9EWZMGHFQVGZ88FV.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Singapore","2021-02-01","0","Inf","minutes","0.0204000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-SG-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Singapore"
