"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-07T15:50:42Z"
"Version","20250307155042"
"OfferCode","AmazonOmics"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","vCPU","Memory","Storage Class","Group","Group Description","usageType","operation","Analytics Type","Datastore Type","GPU","GPU Memory","Omics Instance Type","Publisher","Ready2Run Workflow Name","Ready2Run Workflow Version","Region Code","Resource Type","serviceName","Workflow Type"
"57KM44VKG5QHFAZS","JRTCKXETXF","57KM44VKG5QHFAZS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.31 per scRNAseq with STARsolo-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","5.3100000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-scRNAseqwithSTARsolo-v1.0-run","",,,,,,"nf-core","scRNAseq with STARsolo","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"5AX86SX2H3D5GJZJ","JRTCKXETXF","5AX86SX2H3D5GJZJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.459 per omics.c.2xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.4590000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","8","16 GiB",,,,"USE1-WorkflowType:Private-omics.c.2xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.2xlarge","Amazon Omics","Private"
"5SFVHVD67BCMP8SX","JRTCKXETXF","5SFVHVD67BCMP8SX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.0557 per Instance-hr for omics.g6e.4xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","4.0557000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","16","128 GiB",,,,"USE1-WorkflowType:Private-omics.g6e.4xlarge-hours","",,,"1","48 GiB","Accelerated Computing",,,,"us-east-1","omics.g6e.4xlarge","Amazon Omics","Private"
"639V5F6GBVFND7W5","JRTCKXETXF","639V5F6GBVFND7W5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.2122 per Instance-hr for omics.g6.12xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","6.2122000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","48","192 GiB",,,,"USE1-WorkflowType:Private-omics.g6.12xlarge-hours","",,,"4","96 GiB","Accelerated Computing",,,,"us-east-1","omics.g6.12xlarge","Amazon Omics","Private"
"6AUCNXHSFZQQYNSV","JRTCKXETXF","6AUCNXHSFZQQYNSV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.836 per omics.c.8xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.8360000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","32","64 GiB",,,,"USE1-WorkflowType:Private-omics.c.8xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.8xlarge","Amazon Omics","Private"
"6CKE6CWRJ7QX74HD","JRTCKXETXF","6CKE6CWRJ7QX74HD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.62 per Bases2Fastq for 2x150-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","2.6200000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-Bases2Fastqfor2x150-v1.0-run","",,,,,,"Element Biosciences","Bases2Fastq for 2x150","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"6RM5HJM5GTE2UTEK","JRTCKXETXF","6RM5HJM5GTE2UTEK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005769 per Gigabase-month for active storage in US East (N. Virginia)","2025-02-01","0","Inf","Gigabase-month","0.0057690000","USD","Storage","AmazonOmics","US East (N. Virginia)","AWS Region",,,"Active",,,"USE1-StorageClass:Active-Gigabase-hour","",,,,,,,,,"us-east-1",,"Amazon Omics",
"6RW3UX2RN48PAWK4","JRTCKXETXF","6RW3UX2RN48PAWK4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.98 per Sentieon Germline BAM WES for up to 300x-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","0.9800000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonGermlineBAMWESforupto300x-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon Germline BAM WES for up to 300x","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"79JB6W858MU7EC66","JRTCKXETXF","79JB6W858MU7EC66.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.0268 per Instance-hr for omics.g6e.2xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","3.0268000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","8","64 GiB",,,,"USE1-WorkflowType:Private-omics.g6e.2xlarge-hours","",,,"1","48 GiB","Accelerated Computing",,,,"us-east-1","omics.g6e.2xlarge","Amazon Omics","Private"
"79ZKR7Z483ZPRMDG","JRTCKXETXF","79ZKR7Z483ZPRMDG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.3581 per omics.g5.xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.3581000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","4","16 GiB",,,,"USE1-WorkflowType:Private-omics.g5.xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g5.xlarge","Amazon Omics","Private"
"7S3UF4DGW3AKT4E3","JRTCKXETXF","7S3UF4DGW3AKT4E3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.4432 per omics.r.16xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","5.4432000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","64","512 GiB",,,,"USE1-WorkflowType:Private-omics.r.16xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.16xlarge","Amazon Omics","Private"
"8278X26KCGA2BCE4","JRTCKXETXF","8278X26KCGA2BCE4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.00 per AlphaFold for up to 600 residues-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","6.0000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-AlphaFoldforupto600residues-v1.0-run","",,,,,,"DeepMind","AlphaFold for up to 600 residues","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"8XVKZNTAZ9ATEAQK","JRTCKXETXF","8XVKZNTAZ9ATEAQK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.5184 per omics.m.2xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.5184000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","8","32 GiB",,,,"USE1-WorkflowType:Private-omics.m.2xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.2xlarge","Amazon Omics","Private"
"9A3JPBMEBX8B44GS","JRTCKXETXF","9A3JPBMEBX8B44GS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.71 per Sentieon Germline BAM WGS for up to 32x-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","1.7100000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-SentieonGermlineBAMWGSforupto32x-v1.0-run","",,,,,,"Sentieon, Inc.","Sentieon Germline BAM WGS for up to 32x","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"9MB6VXGYSR9CEPBG","JRTCKXETXF","9MB6VXGYSR9CEPBG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1296 per omics.m.large-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.1296000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","2","8 GiB",,,,"USE1-WorkflowType:Private-omics.m.large-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.large","Amazon Omics","Private"
"AP845NWVGBMQ3DJ7","JRTCKXETXF","AP845NWVGBMQ3DJ7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$14.74 per NVIDIA Parabricks BAM2FQ2BAM WGS for up to 50X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","14.7400000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksBAM2FQ2BAMWGSforupto50X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks BAM2FQ2BAM WGS for up to 50X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"ASECS9EY4F242JCC","JRTCKXETXF","ASECS9EY4F242JCC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.2944 per Instance-hr for omics.m.32xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","8.2944000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","128","512 GiB",,,,"USE1-WorkflowType:Private-omics.m.32xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.32xlarge","Amazon Omics","Private"
"B44CXBSCQQHUBTFW","JRTCKXETXF","B44CXBSCQQHUBTFW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.00 per GATK-BP fq2bam-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","8.0000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-GATK-BPfq2bam-v1.0-run","",,,,,,"Broad Institute","GATK-BP fq2bam","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"B9AQPJG926MSBN4P","JRTCKXETXF","B9AQPJG926MSBN4P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$20.3385 per Instance-hr for omics.g6e.24xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","20.3385000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","96","768 GiB",,,,"USE1-WorkflowType:Private-omics.g6e.24xlarge-hours","",,,"4","192 GiB","Accelerated Computing",,,,"us-east-1","omics.g6e.24xlarge","Amazon Omics","Private"
"B9NYGKZRKEK5T57A","JRTCKXETXF","B9NYGKZRKEK5T57A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.2592 per omics.m.xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.2592000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","4","16 GiB",,,,"USE1-WorkflowType:Private-omics.m.xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.xlarge","Amazon Omics","Private"
"BNJTWVU7E89QWYSQ","JRTCKXETXF","BNJTWVU7E89QWYSQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.3048 per omics.g5.8xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","3.3048000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","32","128 GiB",,,,"USE1-WorkflowType:Private-omics.g5.8xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g5.8xlarge","Amazon Omics","Private"
"BQPZZ23Q3XW8H56D","JRTCKXETXF","BQPZZ23Q3XW8H56D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.1472 per omics.m.16xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","4.1472000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","64","256 GiB",,,,"USE1-WorkflowType:Private-omics.m.16xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.16xlarge","Amazon Omics","Private"
"BSSTYJE424UMN5PG","JRTCKXETXF","BSSTYJE424UMN5PG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$11.12 per NVIDIA Parabricks Germline DeepVariant WGS for up to 30X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","11.1200000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksGermlineDeepVariantWGSforupto30X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks Germline DeepVariant WGS for up to 30X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"BVFPS9PDE4A2BMZJ","JRTCKXETXF","BVFPS9PDE4A2BMZJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.56 per scRNAseq with Salmon Alevin-fry-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","1.5600000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-scRNAseqwithSalmonAlevin-fry-v1.0-run","",,,,,,"nf-core","scRNAseq with Salmon Alevin-fry","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"C2B247A3FMWC8VQE","JRTCKXETXF","C2B247A3FMWC8VQE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.00 per AlphaFold for up to 601-1200 residues-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","9.0000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-AlphaFoldfor601-1200residues-v1.0-run","",,,,,,"DeepMind","AlphaFold for 601-1200 residues","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"C8XGARZPCS3UNWYD","JRTCKXETXF","C8XGARZPCS3UNWYD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per 1000 Requests for OmicsStorage:API-GetRequest in US East (N. Virginia)","2025-02-01","0","Inf","Request","0.0000050000","USD","Storage","AmazonOmics","US East (N. Virginia)","AWS Region",,,,"OmicsStorage-API-GetRequest","Get requests","USE1-OmicsStorage:API-GetRequest","",,,,,,,,,"us-east-1",,"Amazon Omics",
"CDPVD8G7YKYNFZQN","JRTCKXETXF","CDPVD8G7YKYNFZQN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.84 per Bases2Fastq for 2x75-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","0.8400000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-Bases2Fastqfor2x75-v1.0-run","",,,,,,"Element Biosciences","Bases2Fastq for 2x75","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"CS2SB37SQVGWB89H","JRTCKXETXF","CS2SB37SQVGWB89H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.68 per NVIDIA Parabricks FQ2BAM WGS for up to 30X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","5.6800000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksFQ2BAMWGSforupto30X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks FQ2BAM WGS for up to 30X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"D392A73B4G3VS626","JRTCKXETXF","D392A73B4G3VS626.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.9376 per omics.g4dn.8xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","2.9376000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","32","128 GiB",,,,"USE1-WorkflowType:Private-omics.g4dn.8xlarge-hours","",,,"1","16 GiB","Accelerated Computing",,,,"us-east-1","omics.g4dn.8xlarge","Amazon Omics","Private"
"DRXQETW86KXWA4YZ","JRTCKXETXF","DRXQETW86KXWA4YZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.00 per Ultima Genomics DeepVariant for up to 40x-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","2.0000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-UltimaGenomicsDeepVariantforupto40x-v1.0-run","",,,,,,"Ultima Genomics","Ultima Genomics DeepVariant for up to 40x","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"DX6RRQDY9FUWYP7N","JRTCKXETXF","DX6RRQDY9FUWYP7N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.5296 per Instance-hr for omics.g5.16xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","5.5296000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","64","256 GiB",,,,"USE1-WorkflowType:Private-omics.g5.16xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g5.16xlarge","Amazon Omics","Private"
"DYD438VYVFXXZ9V6","JRTCKXETXF","DYD438VYVFXXZ9V6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.0368 per omics.m.4xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.0368000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","16","64 GiB",,,,"USE1-WorkflowType:Private-omics.m.4xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.4xlarge","Amazon Omics","Private"
"E43JGQCN5D8A6D4V","JRTCKXETXF","E43JGQCN5D8A6D4V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.0736 per omics.m.8xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","2.0736000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","32","128 GiB",,,,"USE1-WorkflowType:Private-omics.m.8xlarge-hours","",,,,,"Standard Instances",,,,"us-east-1","omics.m.8xlarge","Amazon Omics","Private"
"E946Y5UGNNRNSU4G","JRTCKXETXF","E946Y5UGNNRNSU4G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.2295 per omics.c.xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.2295000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","4","8 GiB",,,,"USE1-WorkflowType:Private-omics.c.xlarge-hours","",,,,,"Compute Optimized Instances",,,,"us-east-1","omics.c.xlarge","Amazon Omics","Private"
"EAHUPF7VFRFUKGYG","JRTCKXETXF","EAHUPF7VFRFUKGYG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1701 per omics.r.large-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.1701000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","2","16 GiB",,,,"USE1-WorkflowType:Private-omics.r.large-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.large","Amazon Omics","Private"
"ES4BHKMXGYENDRE3","JRTCKXETXF","ES4BHKMXGYENDRE3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.39 per NVIDIA Parabricks BAM2FQ2BAM WGS for up to 5X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","1.3900000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksBAM2FQ2BAMWGSforupto5X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks BAM2FQ2BAM WGS for up to 5X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"EVZ3BPDGRZSHCT8R","JRTCKXETXF","EVZ3BPDGRZSHCT8R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.2812 per omics.g4dn.12xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","5.2812000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","48","192 GiB",,,,"USE1-WorkflowType:Private-omics.g4dn.12xlarge-hours","",,,"4","64 GiB","Accelerated Computing",,,,"us-east-1","omics.g4dn.12xlarge","Amazon Omics","Private"
"EXTFJSQS3KG8DGCR","JRTCKXETXF","EXTFJSQS3KG8DGCR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$14.1651 per Instance-hr for omics.g6e.12xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","14.1651000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","48","384 GiB",,,,"USE1-WorkflowType:Private-omics.g6e.12xlarge-hours","",,,"4","192 GiB","Accelerated Computing",,,,"us-east-1","omics.g6e.12xlarge","Amazon Omics","Private"
"F9M7KJE8TS3HGWFD","JRTCKXETXF","F9M7KJE8TS3HGWFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.0152 per omics.g4dn.2xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","1.0152000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","8","32 GiB",,,,"USE1-WorkflowType:Private-omics.g4dn.2xlarge-hours","",,,"1","16 GiB","Accelerated Computing",,,,"us-east-1","omics.g4dn.2xlarge","Amazon Omics","Private"
"FFXC2M8XRS8U26R6","JRTCKXETXF","FFXC2M8XRS8U26R6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3402 per omics.r.xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.3402000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","4","32 GiB",,,,"USE1-WorkflowType:Private-omics.r.xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.xlarge","Amazon Omics","Private"
