SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Country,Region Code,serviceName,ToCountry
82UMN5VUD3B9BB8M,JRTCKXETXF,82UMN5VUD3B9BB8M.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Israel,2020-01-01,0,Inf,callme-minutes,0.0386800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-IL-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Israel
8PCF7YP6DEM2PQQ4,JRTCKXETXF,8PCF7YP6DEM2PQQ4.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Netherlands,2020-01-01,0,Inf,callme-minutes,0.1272600000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-NL-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Netherlands
96PBBU59AESHFJWQ,JRTCKXETXF,96PBBU59AESHFJWQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Greece,2020-01-01,0,Inf,callme-minutes,0.2566900000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-GR-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Greece
9KVG7NCU5TQDGRAZ,JRTCKXETXF,9KVG7NCU5TQDGRAZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Cyprus,2020-01-01,0,Inf,callme-minutes,0.2170700000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-CY-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Cyprus
9ZXUGFJUSBQZXVUS,JRTCKXETXF,9ZXUGFJUSBQZXVUS.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Spain,2020-01-01,0,Inf,callme-minutes,0.0712200000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-ES-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Spain
BN7Y7TECM3JAR7VU,JRTCKXETXF,BN7Y7TECM3JAR7VU.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Panama,2020-01-01,0,Inf,callme-minutes,0.3336800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-PA-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Panama
DQK9B8HNNUCP39R5,JRTCKXETXF,DQK9B8HNNUCP39R5.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Portugal,2020-01-01,0,Inf,callme-minutes,0.0894800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-PT-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Portugal
DVDMBQM5KTNVP8AH,JRTCKXETXF,DVDMBQM5KTNVP8AH.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Lithuania,2020-01-01,0,Inf,callme-minutes,0.1214800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-LT-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Lithuania
DWC7YJ5R2YDRHXEV,JRTCKXETXF,DWC7YJ5R2YDRHXEV.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Czech Republic,2020-01-01,0,Inf,callme-minutes,0.1433600000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-CZ-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Czech Republic
E55RY6S42NPECNHM,JRTCKXETXF,E55RY6S42NPECNHM.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to France,2020-01-01,0,Inf,callme-minutes,0.0692000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-FR-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,France
EV3BSTEHEV5ZDSTB,JRTCKXETXF,EV3BSTEHEV5ZDSTB.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Belgium,2020-01-01,0,Inf,callme-minutes,0.1575000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-BE-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Belgium
K8UX247D2XW47FND,JRTCKXETXF,K8UX247D2XW47FND.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to South Africa,2020-01-01,0,Inf,callme-minutes,0.0273250000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-ZA-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,South Africa
MVCJR4FX33FU6959,JRTCKXETXF,MVCJR4FX33FU6959.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Finland,2020-01-01,0,Inf,callme-minutes,0.0546800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-FI-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Finland
NKSEFMYFVNPPEUW7,JRTCKXETXF,NKSEFMYFVNPPEUW7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Ireland,2020-01-01,0,Inf,callme-minutes,0.0289100000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-IE-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Ireland
NSG2ZKA4CJCWHJUM,JRTCKXETXF,NSG2ZKA4CJCWHJUM.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to United States of America,2020-01-01,0,Inf,callme-minutes,0.0048000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-US-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,United States of America
QU6YBT6CBYJYX3FY,JRTCKXETXF,QU6YBT6CBYJYX3FY.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Puerto Rico,2020-01-01,0,Inf,callme-minutes,0.0060000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-PR-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Puerto Rico
RQ4VR3PG37PAK5QZ,JRTCKXETXF,RQ4VR3PG37PAK5QZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Italy,2020-01-01,0,Inf,callme-minutes,0.0842000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-IT-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Italy
RXEKGTEASUVJ4BQN,JRTCKXETXF,RXEKGTEASUVJ4BQN.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Switzerland,2020-01-01,0,Inf,callme-minutes,0.1926000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-CH-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Switzerland
S4G8EGESPG48UA62,JRTCKXETXF,S4G8EGESPG48UA62.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Poland,2020-01-01,0,Inf,callme-minutes,0.1189800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-PL-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Poland
SCKQDSDSBDAH63W5,JRTCKXETXF,SCKQDSDSBDAH63W5.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Mexico,2020-01-01,0,Inf,callme-minutes,0.0162500000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-MX-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Mexico
TCNWCS3Q43B8B3K2,JRTCKXETXF,TCNWCS3Q43B8B3K2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Luxembourg,2020-01-01,0,Inf,callme-minutes,0.0674600000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-LU-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Luxembourg
U7J7FH5BZDM5VCXC,JRTCKXETXF,U7J7FH5BZDM5VCXC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Hungary,2020-01-01,0,Inf,callme-minutes,0.0920000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-HU-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Hungary
V9RKQYH5MJPNZ5UY,JRTCKXETXF,V9RKQYH5MJPNZ5UY.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Canada,2020-01-01,0,Inf,callme-minutes,0.0054000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-CA-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Canada
VVXSW4JY97KF7P7G,JRTCKXETXF,VVXSW4JY97KF7P7G.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Denmark,2020-01-01,0,Inf,callme-minutes,0.0257800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-DK-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Denmark
WVR36RV8NJ75KEJA,JRTCKXETXF,WVR36RV8NJ75KEJA.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Malta,2020-01-01,0,Inf,callme-minutes,0.0197700000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-MT-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Malta
X8GJHX22HT7QSMK9,JRTCKXETXF,X8GJHX22HT7QSMK9.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Turkey,2020-01-01,0,Inf,callme-minutes,0.4301800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-TR-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Turkey
XVDUMSBPS4XZZ7A7,JRTCKXETXF,XVDUMSBPS4XZZ7A7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Latvia,2020-01-01,0,Inf,callme-minutes,0.1834000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-LV-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Latvia
YQ7A8CBU54GFK72E,JRTCKXETXF,YQ7A8CBU54GFK72E.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Argentina,2020-01-01,0,Inf,callme-minutes,0.4271100000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-AR-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Argentina
Z523VZZJH9T337ZB,JRTCKXETXF,Z523VZZJH9T337ZB.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to New Zealand,2020-01-01,0,Inf,callme-minutes,0.0614100000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-NZ-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,New Zealand
ZXWENKNKBDTMMFCQ,JRTCKXETXF,ZXWENKNKBDTMMFCQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Peru,2020-01-01,0,Inf,callme-minutes,0.0645500000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-PE-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Peru
