SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,vCpu,Memory,Volume Type,usageType,operation,Compute Type,DeviceName,Device Name,Device Provider,Operation Outcome,Product Type,Product-Type,Provider,Region Code,serviceName,Simulator Name,Type,Version
5QMAPBUTK6RUHGGK,JRTCKXETXF,5QMAPBUTK6RUHGGK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00768 per minute for running a Braket Job (ml.m5.2xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0076800000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m5.2xlarge-Training,8,32 GiB,,USE1-Job-ExecutionDuration-ml.m5.2xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
63QY7X72CZDZHXQN,JRTCKXETXF,63QY7X72CZDZHXQN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0136 per minute for running a Braket Job (ml.c5.4xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0136000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5.4xlarge-Training,16,32 GiB,,USE1-Job-ExecutionDuration-ml.c5.4xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
67Z628QH2GY4QF6X,JRTCKXETXF,67Z628QH2GY4QF6X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per-shot for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0300000000,USD,,Quantum Task-Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-Shot-IonQ-Aria-1,CompleteTask,,Aria-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
6G3363XUAQPXMD9X,JRTCKXETXF,6G3363XUAQPXMD9X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00863 per minute for running a Braket Job (ml.c5n.2xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0086300000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5n.2xlarge-Training,8,21 GiB,,USE1-Job-ExecutionDuration-ml.c5n.2xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
7724BVYNXRFGRHVV,JRTCKXETXF,7724BVYNXRFGRHVV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per-shot for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0100000000,USD,,Quantum Task-Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-Shot,CompleteTask,,IonQdevice,,,,,,IonQ,us-east-1,Amazon Braket,,,
7DHKMH8G2WYM8WWT,JRTCKXETXF,7DHKMH8G2WYM8WWT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.004 per minute for running a Braket Job (ml.m4.xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0040000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m4.xlarge-Training,4,16 GiB,,USE1-Job-ExecutionDuration-ml.m4.xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
7QQBCNV7FDHE88WA,JRTCKXETXF,7QQBCNV7FDHE88WA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2,500 per hour for QuEra-Aquila device in US East (N. Virginia) Region,2025-03-01,0,Inf,hours,2500.0000000000,USD,,Quantum Reservation,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Reservation-QuEra-Aquila,ReservationEnd,,Aquila,,,,,,QuEra,us-east-1,Amazon Braket,,,
7YARXGJ6Q7CPGNH7,JRTCKXETXF,7YARXGJ6Q7CPGNH7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per Job Task Shot for QuEra-Aquila in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0100000000,USD,,Braket Managed Jobs QPU Task Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-Shot-QuEra-Aquila,Managed-Jobs,,,Aquila,QuEra,,,,,us-east-1,Amazon Braket,,Task Shot,
7Z227RB3X7FWB53U,JRTCKXETXF,7Z227RB3X7FWB53U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01728 per minute for running a Braket Job (ml.c5n.4xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0172800000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5n.4xlarge-Training,16,42 GiB,,USE1-Job-ExecutionDuration-ml.c5n.4xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
8QVZRTUHPRCS6XTR,JRTCKXETXF,8QVZRTUHPRCS6XTR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.075 per minute for Job Simulator (DM1) Task in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0750000000,USD,CWQB385Q7FYCYESV,Braket Managed Jobs Simulator Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-Simulator-Task-ExecutionDuration-DM1,Managed-Jobs,,,,,,,,,us-east-1,Amazon Braket,Density Matrix,,DM1
8X77C7667SM5G9TZ,JRTCKXETXF,8X77C7667SM5G9TZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00432 per minute for running a Braket Job (ml.c5n.xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0043200000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5n.xlarge-Training,4,10.5 GiB,,USE1-Job-ExecutionDuration-ml.c5n.xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
9AFGTKUUCBBPG35K,JRTCKXETXF,9AFGTKUUCBBPG35K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per-shot for IonQ-Forte-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0800000000,USD,,Quantum Task-Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-Shot-IonQ-Forte-1,CompleteTask,,Forte-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
A7HQMN88BCK2HEYA,JRTCKXETXF,A7HQMN88BCK2HEYA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per-task for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Quantum Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task,Task,,IonQdevice,,,,,,IonQ,us-east-1,Amazon Braket,,,
AMJT6SRVNMQQFBJ4,JRTCKXETXF,AMJT6SRVNMQQFBJ4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.62813 per minute for running a Braket Job (ml.p4d.24xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.6281300000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p4d.24xlarge-Training,96,1152 GiB,,USE1-Job-ExecutionDuration-ml.p4d.24xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
B4SWAU2A2FKEGDH9,JRTCKXETXF,B4SWAU2A2FKEGDH9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0034 per minute for running a Braket Job (ml.c5.xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0034000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5.xlarge-Training,4,8 GiB,,USE1-Job-ExecutionDuration-ml.c5.xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
BVN8NF97ZSJE8SZ5,JRTCKXETXF,BVN8NF97ZSJE8SZ5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03888 per minute for running a Braket Job (ml.c5n.9xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0388800000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5n.9xlarge-Training,36,96 GiB,,USE1-Job-ExecutionDuration-ml.c5n.9xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
BYMEDTX7VVU4TF7B,JRTCKXETXF,BYMEDTX7VVU4TF7B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.016 per minute for running a Braket Job (ml.m4.4xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0160000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m4.4xlarge-Training,16,64 GiB,,USE1-Job-ExecutionDuration-ml.m4.4xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
CDH3HBYMB6KRUNTF,JRTCKXETXF,CDH3HBYMB6KRUNTF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01592 per minute for running a Braket Job (ml.c4.4xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0159200000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c4.4xlarge-Training,16,30 GiB,,USE1-Job-ExecutionDuration-ml.c4.4xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
CWQB385Q7FYCYESV,A429C66SYZ,CWQB385Q7FYCYESV.A429C66SYZ.HZX83385D6,OnDemand,Global rate for Simulators-Task,2025-03-01,0,60,minutes,0.0000000000,USD,,Simulator Task,AmazonBraket,Any,AWS Region,,,,,Global-Simulators-Task,,,,,,Completed,Managed-Simulators,Managed-Simulators,,,Amazon Braket,,,MS1
CXVVTVTYZPPB9UGZ,JRTCKXETXF,CXVVTVTYZPPB9UGZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.075 per minute for Simulator(SV1) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0750000000,USD,CWQB385Q7FYCYESV,Simulator Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Completed-Task-ExecutionDuration-SV1,CompleteTask,,,,,Completed,StateVector,StateVector,,us-east-1,Amazon Braket,,,SV1
DBW4F9ZXD7X2PAKZ,JRTCKXETXF,DBW4F9ZXD7X2PAKZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0612 per minute for running a Braket Job (ml.c5.18xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0612000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5.18xlarge-Training,72,144 GiB,,USE1-Job-ExecutionDuration-ml.c5.18xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
DY2X6TZWMBTAAE3P,JRTCKXETXF,DY2X6TZWMBTAAE3P.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.14 per GB-month of provisioned storage for a Braket Job in US East (N. Virginia) Region,2025-03-01,0,Inf,GB-Mo,0.1400000000,USD,,Braket Managed Jobs Volume,AmazonBraket,US East (N. Virginia),AWS Region,,,,General Purpose (SSD) Storage,USE1-Job-VolumeUsage,Managed-Jobs,,,,,,,,,us-east-1,Amazon Braket,,,
E37QQJRVEFYY46CG,JRTCKXETXF,E37QQJRVEFYY46CG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00383 per minute for running a Braket Job (ml.m5.xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0038300000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m5.xlarge-Training,4,16 GiB,,USE1-Job-ExecutionDuration-ml.m5.xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
E6UVYF7VTXQHNESF,JRTCKXETXF,E6UVYF7VTXQHNESF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01000 per Job Task Shot for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0100000000,USD,,Braket Managed Jobs QPU Task Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-Shot-IonQ-Harmony,Managed-Jobs,,,Harmony,IonQ,,,,,us-east-1,Amazon Braket,,Task Shot,
EGTMR82QVQUR4XVE,JRTCKXETXF,EGTMR82QVQUR4XVE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per task for IonQ-Forte-Enterprise-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Quantum Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-IonQ-Forte-Enterprise-1,Task,,Forte-Enterprise-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
EHPPHMFD8CQ7PPW6,JRTCKXETXF,EHPPHMFD8CQ7PPW6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.07777 per minute for running a Braket Job (ml.c5n.18xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0777700000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c5n.18xlarge-Training,72,192 GiB,,USE1-Job-ExecutionDuration-ml.c5n.18xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
EPZ2XZ7GVP25VDKD,JRTCKXETXF,EPZ2XZ7GVP25VDKD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per Job Task Shot for IonQ-Forte-Enterprise-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0800000000,USD,,Braket Managed Jobs QPU Task Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-Shot-IonQ-Forte-Enterprise-1,Managed-Jobs,,,Forte-Enterprise-1,IonQ,,,,,us-east-1,Amazon Braket,,Task Shot,
EQ92N8G8KDA2ZX52,JRTCKXETXF,EQ92N8G8KDA2ZX52.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3 per Job Task for QuEra-Aquila in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Braket Managed Jobs QPU Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-QuEra-Aquila,Managed-Jobs,,,Aquila,QuEra,,,,,us-east-1,Amazon Braket,,Task,
F7T7NNY43UGEAP5C,JRTCKXETXF,F7T7NNY43UGEAP5C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.064 per minute for running a Braket Job (ml.m4.16xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0640000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m4.16xlarge-Training,64,256 GiB,,USE1-Job-ExecutionDuration-ml.m4.16xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
FJ7KZJFNH5ZZUR8S,JRTCKXETXF,FJ7KZJFNH5ZZUR8S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01000 per Job Task Shot for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0100000000,USD,,Braket Managed Jobs QPU Task Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-Shot-IonQ-IonQdevice,Managed-Jobs,,,IonQdevice,IonQ,,,,,us-east-1,Amazon Braket,,Task Shot,
GS4G8586TK8CY4XR,JRTCKXETXF,GS4G8586TK8CY4XR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.008 per minute for running a Braket Job (ml.m4.2xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0080000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m4.2xlarge-Training,8,32 GiB,,USE1-Job-ExecutionDuration-ml.m4.2xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
GSUMGADRBNMH3C73,JRTCKXETXF,GSUMGADRBNMH3C73.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04608 per minute for running a Braket Job (ml.m5.12xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0460800000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m5.12xlarge-Training,48,192 GiB,,USE1-Job-ExecutionDuration-ml.m5.12xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
GZAMUGRM2SSGDHGE,JRTCKXETXF,GZAMUGRM2SSGDHGE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30000 per Job Task for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Braket Managed Jobs QPU Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-IonQ-Harmony,Managed-Jobs,,,Harmony,IonQ,,,,,us-east-1,Amazon Braket,,Task,
H3HJF7J8JTTNC698,JRTCKXETXF,H3HJF7J8JTTNC698.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.275 per minute for Simulator(TN1) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.2750000000,USD,CWQB385Q7FYCYESV,Simulator Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Completed-Task-ExecutionDuration-TN1,CompleteTask,,,,,Completed,TensorNetwork,TensorNetwork,,us-east-1,Amazon Braket,,,TN1
HPG37EE74BMKFHFH,JRTCKXETXF,HPG37EE74BMKFHFH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7,000 per hour for IonQ-Aria-1 device in US East (N. Virginia) Region,2025-03-01,0,Inf,hours,7000.0000000000,USD,,Quantum Reservation,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Reservation-IonQ-Aria-1,ReservationEnd,,Aria-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
HSPS8MNHUFYHMFW4,JRTCKXETXF,HSPS8MNHUFYHMFW4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.275 per minute for Job Simulator(TN1) Task in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.2750000000,USD,CWQB385Q7FYCYESV,Braket Managed Jobs Simulator Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-Simulator-Task-ExecutionDuration-TN1,Managed-Jobs,,,,,,,,,us-east-1,Amazon Braket,Tensor Network,,TN1
JDNRVFD7G4YAD9CP,JRTCKXETXF,JDNRVFD7G4YAD9CP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00398 per minute for running a Braket Job (ml.c4.xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0039800000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.c4.xlarge-Training,4,7.5 GiB,,USE1-Job-ExecutionDuration-ml.c4.xlarge,Managed-Jobs,Compute Optimized Instances,,,,,,,,us-east-1,Amazon Braket,,,
JXBS69MW2NZTQ2ZN,JRTCKXETXF,JXBS69MW2NZTQ2ZN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30000 per Job Task for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Braket Managed Jobs QPU Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Job-QPU-Task-IonQ-IonQdevice,Managed-Jobs,,,IonQdevice,IonQ,,,,,us-east-1,Amazon Braket,,Task,
KKVBF52D4Y3KQXQ8,JRTCKXETXF,KKVBF52D4Y3KQXQ8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per-task for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Quantum Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-IonQ-Aria-1,Task,,Aria-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
MJASFJEFVH58MZ3N,JRTCKXETXF,MJASFJEFVH58MZ3N.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.144 per minute for running a Braket Job (ml.p2.8xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.1440000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p2.8xlarge-Training,32,488 GiB,,USE1-Job-ExecutionDuration-ml.p2.8xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
