SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Channel,Region Code,serviceName
R6G9RWXUC7XS7JUT,JRTCKXETXF,R6G9RWXUC7XS7JUT.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI SMS GR,2025-05-01,0,Inf,Messages,0.0202000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-multi-region-SMS-message,,,us-east-1,Amazon Connect
RYPP6B49Y7YRZB73,JRTCKXETXF,RYPP6B49Y7YRZB73.JRTCKXETXF.6YS6EN2CT7,OnDemand,Web calling video minutes used,2025-05-01,0,Inf,Minute,0.0150000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-web-calling-video-mins,,,us-east-1,Amazon Connect
STVG7XSWUYYW5C3C,JRTCKXETXF,STVG7XSWUYYW5C3C.JRTCKXETXF.6YS6EN2CT7,OnDemand,Agents forecasted,2025-05-01,0,Inf,Count,27.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-agents-forecasted,,,us-east-1,Amazon Connect
T6U2VQCPMBWPVP5D,JRTCKXETXF,T6U2VQCPMBWPVP5D.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Chat,2025-05-01,0,Inf,Messages,0.0100000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-chat-message,,,us-east-1,Amazon Connect
UD7GTKUY76YXCN9F,JRTCKXETXF,UD7GTKUY76YXCN9F.JRTCKXETXF.6YS6EN2CT7,OnDemand,High volume traffic used,2025-05-01,0,Inf,Minute,0.0250000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-high-volume-traffic-end-customer-mins,,,us-east-1,Amazon Connect
UXNDK534XCGKVZVV,JRTCKXETXF,UXNDK534XCGKVZVV.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI SMS,2025-05-01,0,Inf,Messages,0.0140000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-SMS-message,,,us-east-1,Amazon Connect
VA4389E86TCXM7TB,JRTCKXETXF,VA4389E86TCXM7TB.JRTCKXETXF.6YS6EN2CT7,OnDemand,External voice transfer minutes,2025-05-01,0,Inf,Minute,0.0050000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-external-voice-transfer-mins,,,us-east-1,Amazon Connect
VWYCWB2WEUMBFA3V,JRTCKXETXF,VWYCWB2WEUMBFA3V.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI WhatsApp Business messaging GR,2025-05-01,0,Inf,Messages,0.0202000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-multi-region-WBM-message,,,us-east-1,Amazon Connect
VXGYENHDRTPBYD2N,JRTCKXETXF,VXGYENHDRTPBYD2N.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Voice Minutes,2025-05-01,0,Inf,Minute,0.0380000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-end-customer-mins,,,us-east-1,Amazon Connect
VYRN2B4A3Q84G9FY,JRTCKXETXF,VYRN2B4A3Q84G9FY.JRTCKXETXF.ETY2894C67,OnDemand,Tasks created,2025-05-01,0,100,Tasks,0.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-tasks,,,us-east-1,Amazon Connect
VYRN2B4A3Q84G9FY,JRTCKXETXF,VYRN2B4A3Q84G9FY.JRTCKXETXF.JBQRCS5NHT,OnDemand,Tasks created,2025-05-01,100,Inf,Tasks,0.0400000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-tasks,,,us-east-1,Amazon Connect
VZA5KWEVF5YDDVBC,JRTCKXETXF,VZA5KWEVF5YDDVBC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Agents evaluated,2025-05-01,0,Inf,Count,12.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-agents-evaluated,,,us-east-1,Amazon Connect
X6YCM8YEH5SM5EX5,JRTCKXETXF,X6YCM8YEH5SM5EX5.JRTCKXETXF.6YS6EN2CT7,OnDemand,Agents scheduled,2025-05-01,0,Inf,Count,27.0000000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-agents-scheduled,,,us-east-1,Amazon Connect
XB4BWFUX7SV4XZEV,JRTCKXETXF,XB4BWFUX7SV4XZEV.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Connect AI Contact Lens external voice minutes,2025-05-01,0,Inf,Minute,0.0320000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-ai-contact-lens-integration-mins,,,us-east-1,Amazon Connect
YZFPKVTE26TEQNFQ,JRTCKXETXF,YZFPKVTE26TEQNFQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per Message for WhatsApp-Business-messages-serviced in US East (N. Virginia),2025-05-01,0,Inf,Messages,0.0100000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-WBM-message,,,us-east-1,Amazon Connect
ZCYX7BU4V3APHSSD,JRTCKXETXF,ZCYX7BU4V3APHSSD.JRTCKXETXF.6YS6EN2CT7,OnDemand,Global Resiliency end customer minutes used,2025-05-01,0,Inf,Minute,0.0260000000,USD,AmazonConnect,AmazonConnect,US East (N. Virginia),AWS Region,USE1-multi-region-end-customer-mins,,,us-east-1,Amazon Connect
