SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,PricingPlan,Provider,Region Code,serviceName,Sub-service,Type
8BQFJ3BZRS9QD427,JRTCKXETXF,8BQFJ3BZRS9QD427.JRTCKXETXF.6YS6EN2CT7,OnDemand,ERROR! Please Contact AWS Support Immediately: support.console.aws.amazon.com,2024-12-01,0,Inf,Route,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Grab-Route,,RequestBasedUsage,Grab,us-east-1,Amazon Location Service,Routing,Routes calculated
9J6EA39FY8HNBBDU,JRTCKXETXF,9J6EA39FY8HNBBDU.JRTCKXETXF.925HBHWMHV,OnDemand,$0.16 per thousand - first 250K positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,0,250000,Position,0.0001600000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-PositionEvaluation,,RequestBasedUsage,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
9J6EA39FY8HNBBDU,JRTCKXETXF,9J6EA39FY8HNBBDU.JRTCKXETXF.P3RYFGMPAM,OnDemand,$0.11 per thousand - next 1.75M positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,250000,2000000,Position,0.0001100000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-PositionEvaluation,,RequestBasedUsage,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
9J6EA39FY8HNBBDU,JRTCKXETXF,9J6EA39FY8HNBBDU.JRTCKXETXF.M2ZD2WYMEE,OnDemand,$0.07 per thousand - next 23M positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,2000000,25000000,Position,0.0000700000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-PositionEvaluation,,RequestBasedUsage,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
9J6EA39FY8HNBBDU,JRTCKXETXF,9J6EA39FY8HNBBDU.JRTCKXETXF.YZ8GSG8HAE,OnDemand,$0.06 per thousand - over 25M positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,25000000,Inf,Position,0.0000600000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-PositionEvaluation,,RequestBasedUsage,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
9PEDJJWYSN652DGR,JRTCKXETXF,9PEDJJWYSN652DGR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per device for Mobile Asset Tracking using HERE in US East (N. Virginia),2024-12-01,0,Inf,Devices,1.5000000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-MAT-Here-Assets,,MobileAssetTracking,HERE,us-east-1,Amazon Location Service,All,Asset per provider per month
AGXBM85HDCW9SDKU,JRTCKXETXF,AGXBM85HDCW9SDKU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand Suggest request (Core) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Core,Suggest,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Suggest request (Core)
AGXNBVQSXMUKTAUK,JRTCKXETXF,AGXNBVQSXMUKTAUK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04 per thousand Map tile request in US East (N. Virginia),2024-12-01,0,Inf,Map Tile,0.0000400000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Maps-Tiles,GetTile,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Maps,Map tile request
AJGG25CMD23QWZU9,JRTCKXETXF,AJGG25CMD23QWZU9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per thousand geofences created,read,updated,or deleted in US East (N. Virginia),2024-12-01,0,Inf,Geofence,0.0000500000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-GeofenceCreateReadUpdateDelete,,None,None,us-east-1,Amazon Location Service,Geofencing,Geofences created,deleted or described
AZP6TBP54385UT49,JRTCKXETXF,AZP6TBP54385UT49.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand addresses geocoded (results stored) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Esri-StoredGeocode,,RequestBasedUsage,Esri,us-east-1,Amazon Location Service,Places,Addresses geocoded (stored results)
BAXD76D4XYJF8KJS,JRTCKXETXF,BAXD76D4XYJF8KJS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.06 per thousand transactions in US East (N. Virginia),2024-12-01,0,Inf,Transaction,0.0000600000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-MAT-Here-Transaction,,MobileAssetTracking,HERE,us-east-1,Amazon Location Service,All,Additional transactions
BHX4JX923VV3U2V7,JRTCKXETXF,BHX4JX923VV3U2V7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand Search Text request (Stored) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Stored,SearchText,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Search Text request (Stored)
BS4PQ8WGQECXY2XR,JRTCKXETXF,BS4PQ8WGQECXY2XR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per thousand Optimize Waypoint request (Advanced) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0015000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Advanced,OptimizeWaypoints,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Optimize Waypoint request (Basic)
BZHQZ4NB5B2HVM6V,JRTCKXETXF,BZHQZ4NB5B2HVM6V.JRTCKXETXF.6YS6EN2CT7,OnDemand,ERROR! Please Contact AWS Support Immediately: support.console.aws.amazon.com,2024-12-01,0,Inf,API Request,0.0000100000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Grab-ResourceCreateReadUpdateDelete,,RequestBasedUsage,Grab,us-east-1,Amazon Location Service,Service Resources,Resource create,read,update,delete
C8JCJG3R5H9A7Z5A,JRTCKXETXF,C8JCJG3R5H9A7Z5A.JRTCKXETXF.925HBHWMHV,OnDemand,$0.16 per thousand - first 250K positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,0,250000,Position,0.0001600000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-PositionEvaluation,,None,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
C8JCJG3R5H9A7Z5A,JRTCKXETXF,C8JCJG3R5H9A7Z5A.JRTCKXETXF.P3RYFGMPAM,OnDemand,$0.11 per thousand - next 1.75M positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,250000,2000000,Position,0.0001100000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-PositionEvaluation,,None,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
C8JCJG3R5H9A7Z5A,JRTCKXETXF,C8JCJG3R5H9A7Z5A.JRTCKXETXF.M2ZD2WYMEE,OnDemand,$0.07 per thousand - next 23M positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,2000000,25000000,Position,0.0000700000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-PositionEvaluation,,None,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
C8JCJG3R5H9A7Z5A,JRTCKXETXF,C8JCJG3R5H9A7Z5A.JRTCKXETXF.YZ8GSG8HAE,OnDemand,$0.06 per thousand - over 25M positions evaluated against a geofence collection in US East (N. Virginia),2024-12-01,25000000,Inf,Position,0.0000600000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-PositionEvaluation,,None,None,us-east-1,Amazon Location Service,Geofencing,Positions evaluated
CD2TRTGS5RCJCU5D,JRTCKXETXF,CD2TRTGS5RCJCU5D.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per thousand Autocomplete request (Label) in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0002000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Label,Autocomplete,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Autocomplete request (Label)
CHAP5Q659C64V84A,JRTCKXETXF,CHAP5Q659C64V84A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand Reverse Geocode request (Core) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Core,ReverseGeocode,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Reverse Geocode request (Core)
CP4GWZKJDUWXGXJE,JRTCKXETXF,CP4GWZKJDUWXGXJE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand positions reverse geocoded in US East (N. Virginia),2024-12-01,0,Inf,Position,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Esri-ReverseGeocode,,RequestBasedUsage,Esri,us-east-1,Amazon Location Service,Places,Positions reverse-geocoded
CZTTHQAB6YRTQ53V,JRTCKXETXF,CZTTHQAB6YRTQ53V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand Search Text request (Core) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Core,SearchText,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Search Text request (Core)
DPRP85XW48BE328N,JRTCKXETXF,DPRP85XW48BE328N.JRTCKXETXF.6YS6EN2CT7,OnDemand,ERROR! Please Contact AWS Support Immediately: support.console.aws.amazon.com,2024-12-01,0,Inf,Map Tile,0.0000400000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Grab-MapTile,,RequestBasedUsage,Grab,us-east-1,Amazon Location Service,Maps,Map tiles retrieved (vector or raster)
EACQ8YXRGRPDDN7M,JRTCKXETXF,EACQ8YXRGRPDDN7M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand Search Nearby request (Core) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Core,SearchNearby,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Search Nearby request (Core)
EHAHW5RK77PSJ2VV,JRTCKXETXF,EHAHW5RK77PSJ2VV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per thousand GeofenceList requests in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0000500000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-GeofenceList,,None,None,us-east-1,Amazon Location Service,Geofencing,Geofence list requests
ENWJZ83MQ9QBNCBU,JRTCKXETXF,ENWJZ83MQ9QBNCBU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per thousand addresses suggested in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0002000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Suggest,,None,None,us-east-1,Amazon Location Service,Places,Addresses Suggested
ESKASYMSMZ2M3JBZ,JRTCKXETXF,ESKASYMSMZ2M3JBZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per thousand GeofenceList requests in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0000500000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-GeofenceList,,RequestBasedUsage,None,us-east-1,Amazon Location Service,Geofencing,Geofence list requests
EUBNHQTCBNWUEHDD,JRTCKXETXF,EUBNHQTCBNWUEHDD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per thousand Snap to Road request (Advanced) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0015000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Advanced,SnapToRoads,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Snap to Road request (Basic)
EYF9TQ7P5XH85BW7,JRTCKXETXF,EYF9TQ7P5XH85BW7.JRTCKXETXF.6YS6EN2CT7,OnDemand,ERROR! Please Contact AWS Support Immediately: support.console.aws.amazon.com,2024-12-01,0,Inf,Position,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Grab-StoredReverseGeocode,,RequestBasedUsage,Grab,us-east-1,Amazon Location Service,Places,Positions reverse-geocoded (stored results)
F2MKCQE7BVNDJG9Y,JRTCKXETXF,F2MKCQE7BVNDJG9Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand Routes calculated (Core) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Core,CalculateRoutes,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Routes calculated (Core)
FNMETG8AQAPZACCG,JRTCKXETXF,FNMETG8AQAPZACCG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per thousand total routes calculated from Calculate Route Matrix (Advanced) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0015000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Advanced,CalculateRouteMatrix,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Total routes calculated (Advanced)
FNTUTC2M9Z7WX9NA,JRTCKXETXF,FNTUTC2M9Z7WX9NA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand positions reverse geocoded in US East (N. Virginia),2024-12-01,0,Inf,Position,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Here-ReverseGeocode,,RequestBasedUsage,HERE,us-east-1,Amazon Location Service,Places,Positions reverse-geocoded
FZK5N7ZAVPCCAVSJ,JRTCKXETXF,FZK5N7ZAVPCCAVSJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per thousand Routes calculated (Advanced) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0015000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Advanced,CalculateRoutes,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Routes calculated (Advanced)
GE3D82UJMK3P52YM,JRTCKXETXF,GE3D82UJMK3P52YM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand Geocode request (Core) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Core,Geocode,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Geocode request (Core)
GFEPV4DVASYTQRV2,JRTCKXETXF,GFEPV4DVASYTQRV2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.06 per thousand transactions in US East (N. Virginia),2024-12-01,0,Inf,Transaction,0.0000600000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-MAM-Esri-Transaction,,MobileAssetManagement,Esri,us-east-1,Amazon Location Service,All,Additional transactions
GN6JQ453E9YS7SM9,JRTCKXETXF,GN6JQ453E9YS7SM9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.035 per thousand map tiles in US East (N. Virginia),2024-12-01,0,Inf,Map Tile,0.0000350000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-OpenData-MapTile,,RequestBasedUsage,OpenData,us-east-1,Amazon Location Service,Maps,Map tiles retrieved (vector or raster)
GURJQKVJCB5QN9GZ,JRTCKXETXF,GURJQKVJCB5QN9GZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per thousand resource list requests in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0000100000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-ResourceList,,None,None,us-east-1,Amazon Location Service,Service Resources,Resource list requests
HEEDZAB5HQ7SMWCF,JRTCKXETXF,HEEDZAB5HQ7SMWCF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per thousand geofence-months in US East (N. Virginia),2024-12-01,0,Inf,Geofence-month,0.0002000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-GeofenceMonth,,None,None,us-east-1,Amazon Location Service,Geofencing,Geofence-months
HH2RZDD4RQE9CUGW,JRTCKXETXF,HH2RZDD4RQE9CUGW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04 per thousand map tiles in US East (N. Virginia),2024-12-01,0,Inf,Map Tile,0.0000400000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-MapTile,,None,None,us-east-1,Amazon Location Service,Maps,Map tiles retrieved (vector or raster)
HWFVK367T3G5BT5N,JRTCKXETXF,HWFVK367T3G5BT5N.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per thousand Geocode request (Advanced) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0015000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Advanced,Geocode,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Geocode request (Advanced)
HYTBUCDFWXSXKCYN,JRTCKXETXF,HYTBUCDFWXSXKCYN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per thousand addresses suggested in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0002000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Esri-Suggest,,RequestBasedUsage,Esri,us-east-1,Amazon Location Service,Places,Addresses Suggested
J7SC5MKBCBZ45FUY,JRTCKXETXF,J7SC5MKBCBZ45FUY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand Reverse Geocode request (Stored) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Stored,ReverseGeocode,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Reverse Geocode request (Stored)
JQXU9WPW65X4M97R,JRTCKXETXF,JQXU9WPW65X4M97R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per thousand GetPlace request (Advanced) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0015000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Advanced,GetPlace,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,GetPlace request (Advanced)
KDRNGZX78QMRTNQZ,JRTCKXETXF,KDRNGZX78QMRTNQZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand routes in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Esri-Route,,RequestBasedUsage,Esri,us-east-1,Amazon Location Service,Routing,Routes calculated
KDVVB3NMTEA6D7R2,JRTCKXETXF,KDVVB3NMTEA6D7R2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per thousand resource create,read,update,or delete requests in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0000100000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Here-ResourceCreateReadUpdateDelete,,RequestBasedUsage,HERE,us-east-1,Amazon Location Service,Service Resources,Resources created,read,updated,or deleted
KGN49PCYYN2YXNQ5,JRTCKXETXF,KGN49PCYYN2YXNQ5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand Isoline calculated (Premium) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Premium,CalculateIsolines,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Isoline calculated (Premium)
KGXFFZ3Y6YM7UPRQ,JRTCKXETXF,KGXFFZ3Y6YM7UPRQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50 per thousand Search Nearby request (Advanced) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0015000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Advanced,SearchNearby,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Search Nearby request (Advanced)
MHEA2F7M246XSURF,JRTCKXETXF,MHEA2F7M246XSURF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand addresses geocoded in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Geocode,,None,None,us-east-1,Amazon Location Service,Places,Addresses geocoded
MVX2DPF9AFDCWT2A,JRTCKXETXF,MVX2DPF9AFDCWT2A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand Routes calculated (Premium) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Premium,CalculateRoutes,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Routes calculated (Premium)
NK5XU8RPQYZNKA6S,JRTCKXETXF,NK5XU8RPQYZNKA6S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04 per thousand map tiles in US East (N. Virginia),2024-12-01,0,Inf,Map Tile,0.0000400000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Here-MapTile,,RequestBasedUsage,HERE,us-east-1,Amazon Location Service,Maps,Map tiles retrieved (vector or raster)
NRP6GJGTTFTDNCMG,JRTCKXETXF,NRP6GJGTTFTDNCMG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand GetPlace request (Stored) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Stored,GetPlace,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,GetPlace request (Stored)
