SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,CallType,FromCountry,messagetype,NumberType,Region Code,serviceName,ToCountry
2K422WVRMV7ZBGNQ,JRTCKXETXF,2K422WVRMV7ZBGNQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Canada,2024-08-01,0,Inf,sms-message,0.0150000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-CA-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Canada
2MB69PMAXANYF923,JRTCKXETXF,2MB69PMAXANYF923.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Uzbekistan in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1911000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-UZ-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Uzbekistan
2MU9KCGMRWBPZN6T,JRTCKXETXF,2MU9KCGMRWBPZN6T.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Bahrain in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.2668500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-BH-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Bahrain
2XPKFVCSJPMY4Y7B,JRTCKXETXF,2XPKFVCSJPMY4Y7B.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Armenia in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.4593000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-AM-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Armenia
2Y2SYSMAFYVWCFR8,JRTCKXETXF,2Y2SYSMAFYVWCFR8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per minutes for US-TollFree-outbound-minutes in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0000000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-TollFree-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,United States of America Toll Free
2YKSDRSNV8V64D2D,JRTCKXETXF,2YKSDRSNV8V64D2D.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Mongolia in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1057500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-MN-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Mongolia
34G9FMCSV7VBVG4P,JRTCKXETXF,34G9FMCSV7VBVG4P.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Tajikistan in region USE1,2024-08-01,0,Inf,minutes,0.4794000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-TJ-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Tajikistan
367FV9BN9J5Q6F7Q,JRTCKXETXF,367FV9BN9J5Q6F7Q.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Panama in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.3336800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-PA-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Panama
36TP2CM7GY3V6EHX,JRTCKXETXF,36TP2CM7GY3V6EHX.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Spain in region USE1,2024-08-01,0,Inf,minutes,0.0712200000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-ES-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Spain
37RN4M3YZKJ5AAXZ,JRTCKXETXF,37RN4M3YZKJ5AAXZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Hong Kong,2024-08-01,0,Inf,sms-message,0.1400000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-HK-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Hong Kong
3JFYJN9ZTE9W7KZP,JRTCKXETXF,3JFYJN9ZTE9W7KZP.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Singapore in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0204000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SG-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Singapore
3KHW5HXTY45H27T5,JRTCKXETXF,3KHW5HXTY45H27T5.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Hungary,2024-08-01,0,Inf,sms-message,0.1200000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-HU-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Hungary
3PYSN2GP8NFNKR7Q,JRTCKXETXF,3PYSN2GP8NFNKR7Q.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial In Toll Free Minutes to United States in USE1 region,2024-08-01,0,Inf,minutes,0.0119100000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialIn-US-tollfree-mins,,SMA Toll-Free,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,United States of America
3Q6ZUNRD37XBMS86,JRTCKXETXF,3Q6ZUNRD37XBMS86.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial In Numbers for Austria in USE1 region,2024-08-01,0,Inf,NumberMonths,0.4950000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialIn-AT-did-numberscharge,,,Austria,,DDI,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,
3QS7UHYQBN3T8CM5,JRTCKXETXF,3QS7UHYQBN3T8CM5.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Belgium in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1575000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-BE-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Belgium
3SB8JRG3V2QVVG48,JRTCKXETXF,3SB8JRG3V2QVVG48.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to France in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0692000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-FR-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,France
3UKFREFHE5KTNZ9A,JRTCKXETXF,3UKFREFHE5KTNZ9A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5.00 per NumberMonths for SMA-DialIn-SE-tollfree-numberscharge in US East (N. Virginia),2024-08-01,0,Inf,NumberMonths,5.0000000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialIn-SE-tollfree-numberscharge,,,Sweden,,Toll Free,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,
3WDZ3S2UPFPS7HGV,JRTCKXETXF,3WDZ3S2UPFPS7HGV.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Faroe Islands in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.4429500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-FO-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Faroe Islands
444HV389KY6RSAXE,JRTCKXETXF,444HV389KY6RSAXE.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Mongolia in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1057500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-MN-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Mongolia
46PQKDHX4FGG4EMG,JRTCKXETXF,46PQKDHX4FGG4EMG.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Iceland in region USE1,2024-08-01,0,Inf,minutes,0.0508500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-IS-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Iceland
489MGNDEGTX59GN9,JRTCKXETXF,489MGNDEGTX59GN9.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Portugal,2024-08-01,0,Inf,sms-message,0.1500000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-PT-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Portugal
4AZRBGD67WGFDC2H,JRTCKXETXF,4AZRBGD67WGFDC2H.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Panama in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.3336800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-PA-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Panama
4BTENRW3D5FDK44S,JRTCKXETXF,4BTENRW3D5FDK44S.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to United Arab Emirates in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.3714000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-AE-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,United Arab Emirates
4FVAFHTD88QRB4T2,JRTCKXETXF,4FVAFHTD88QRB4T2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Nigeria in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.2623500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-NG-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Nigeria
4GMMM77MCN8NHTHY,JRTCKXETXF,4GMMM77MCN8NHTHY.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to India in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0220500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-IN-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,India
4NYX7XAK7CDN6QCD,JRTCKXETXF,4NYX7XAK7CDN6QCD.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Italy in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0842000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-IT-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Italy
4PMVMTPVDXP4B57X,JRTCKXETXF,4PMVMTPVDXP4B57X.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Bangladesh in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0646500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-BD-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Bangladesh
4T353BY2M9EZBNJW,JRTCKXETXF,4T353BY2M9EZBNJW.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Mexico,2024-08-01,0,Inf,sms-message,0.0020000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-MX-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Mexico
4TPU5RWR5GX8FW3X,JRTCKXETXF,4TPU5RWR5GX8FW3X.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Armenia,2024-08-01,0,Inf,sms-message,0.1200000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-AM-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Armenia
4US5C3JSD359D74S,JRTCKXETXF,4US5C3JSD359D74S.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Saudi Arabia in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.2127000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SA-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Saudi Arabia
4Z9WCWDGVWSJRQHG,JRTCKXETXF,4Z9WCWDGVWSJRQHG.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Saudi Arabia in region USE1,2024-08-01,0,Inf,minutes,0.2127000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-SA-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Saudi Arabia
524UMTS4SVUCHKDJ,JRTCKXETXF,524UMTS4SVUCHKDJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Guyana in region USE1,2024-08-01,0,Inf,minutes,0.6073500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-GY-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Guyana
54PGVZG7HDBXVBGT,JRTCKXETXF,54PGVZG7HDBXVBGT.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial In Numbers for United Kingdom in USE1 region,2024-08-01,0,Inf,NumberMonths,0.2250000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialIn-GB-did-numberscharge,,,United Kingdom,,DDI,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,
57375M4W459G397A,JRTCKXETXF,57375M4W459G397A.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Italy,2024-08-01,0,Inf,sms-message,0.1500000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-IT-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Italy
58YEAYT6XEG5U2ER,JRTCKXETXF,58YEAYT6XEG5U2ER.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Portugal in region USE1,2024-08-01,0,Inf,minutes,0.0894800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-PT-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Portugal
5985MB65T765FBAS,JRTCKXETXF,5985MB65T765FBAS.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Lithuania in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1214800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-LT-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Lithuania
59HR6UGWM6XWZUDU,JRTCKXETXF,59HR6UGWM6XWZUDU.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Thailand in region USE1,2024-08-01,0,Inf,minutes,0.1185000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-TH-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Thailand
59SBTJ2ZMATCYZKF,JRTCKXETXF,59SBTJ2ZMATCYZKF.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Sweden in region USE1,2024-08-01,0,Inf,minutes,0.0253600000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-SE-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Sweden
5BKX4J3YNDGFS5JR,JRTCKXETXF,5BKX4J3YNDGFS5JR.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial In Toll Free Minutes to Australia in USE1 region,2024-08-01,0,Inf,minutes,0.0514300000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialIn-AU-tollfree-mins,,SMA Toll-Free,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Australia
5DYKZ5RC4WBMAXGT,JRTCKXETXF,5DYKZ5RC4WBMAXGT.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Guadeloupe in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.2053500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-GP-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Guadeloupe
5ERHR7UTQDW8VYAU,JRTCKXETXF,5ERHR7UTQDW8VYAU.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Namibia,2024-08-01,0,Inf,sms-message,0.1200000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-NA-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Namibia
5KDTRGRAW87BZENX,JRTCKXETXF,5KDTRGRAW87BZENX.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Turkey in region USE1,2024-08-01,0,Inf,minutes,0.4301800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-TR-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Turkey
5PGP9JBQ727HFPW9,JRTCKXETXF,5PGP9JBQ727HFPW9.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to United States of America in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0048000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-US-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,United States of America
5WDXWUYJVGDXMXDC,JRTCKXETXF,5WDXWUYJVGDXMXDC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Latvia in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1834000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-LV-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Latvia
5XUVSQG79RF6NWQ8,JRTCKXETXF,5XUVSQG79RF6NWQ8.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Aruba,2024-08-01,0,Inf,sms-message,0.0020000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-AW-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Aruba
64P2KNUQ87D2HYD6,JRTCKXETXF,64P2KNUQ87D2HYD6.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Macao,2024-08-01,0,Inf,sms-message,0.1400000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-MO-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Macao
69DGC2G5T98XF3AM,JRTCKXETXF,69DGC2G5T98XF3AM.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Australia in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0476800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-AU-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Australia
69SH38GA9DWK6GDZ,JRTCKXETXF,69SH38GA9DWK6GDZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMA Dial Out minutes for calls made to Australia in region USE1,2024-08-01,0,Inf,minutes,0.0476800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-SMA-DialOut-AU-minutes,,SMA Outbound,Worldwide,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Australia
