SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Tenancy,Operating System,License Model,usageType,operation,CapacityStatus,Dedicated EBS Throughput,ECU,Enhanced Networking Supported,GPU,GPU Memory,Intel AVX2 Available,Intel AVX Available,Intel Turbo Available,Normalization Size Factor,PlatoUsageType,Pre Installed S/W,Processor Features,Region Code,serviceName
2QEGFHD5ZQXC2VP6,JRTCKXETXF,2QEGFHD5ZQXC2VP6.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.3xlarge Windows with SQL Server Enterprise usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,5.0520000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.3xlarge,Yes,Storage optimized,12,Intel Xeon Platinum 8175,3.1 GHz,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:i3en.3xlarge,RunInstances:0102,Used-Outpost-i3en.3xlarge-Windows with SQL Server Enterprise,Up to 3500 Mbps,NA,Yes,,NA,Yes,Yes,Yes,24,BoxUsage,SQL Ent,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2QTWYY69FBER6GZE,JRTCKXETXF,2QTWYY69FBER6GZE.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.3xlarge Linux with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.2030000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.3xlarge,Yes,Storage optimized,12,Intel Xeon Platinum 8175,3.1 GHz,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:i3en.3xlarge,RunInstances:0200,Used-Outpost-i3en.3xlarge-Linux with SQL Web,Up to 3500 Mbps,NA,Yes,,NA,Yes,Yes,Yes,24,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2RDFPDWRRFCFXQMH,JRTCKXETXF,2RDFPDWRRFCFXQMH.JRTCKXETXF.6YS6EN2CT7,OnDemand,c5d.9xlarge Windows with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,2.2640000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,c5d.9xlarge,Yes,Compute optimized,36,Intel Xeon Platinum 8124M,3.4 GHz,72 GiB,1 x 900 NVMe SSD,10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:c5d.9xlarge,RunInstances:0202,Used-Outpost-c5d.9xlarge-Windows with SQL Web,4500 Mbps,139,Yes,,NA,Yes,Yes,Yes,72,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2U2JKPKBCQ7ZD32T,JRTCKXETXF,2U2JKPKBCQ7ZD32T.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.2xlarge Windows usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.3680000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.2xlarge,Yes,Storage optimized,8,Intel Xeon Platinum 8175,3.1 GHz,64 GiB,2 x 2500 NVMe SSD,Up to 25 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:i3en.2xlarge,RunInstances:0002,Used-Outpost-i3en.2xlarge-Windows,Up to 3500 Mbps,37,Yes,,NA,Yes,Yes,Yes,16,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2UBS9V5CQPMUKJ9B,JRTCKXETXF,2UBS9V5CQPMUKJ9B.JRTCKXETXF.6YS6EN2CT7,OnDemand,c5.4xlarge Windows usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.7360000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,c5.4xlarge,Yes,Compute optimized,16,Intel Xeon Platinum 8124M,3.4 GHz,32 GiB,EBS only,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:c5.4xlarge,RunInstances:0002,Used-Outpost-c5.4xlarge-Windows,Up to 2250 Mbps,73,Yes,,NA,Yes,Yes,Yes,32,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2UNEBVJWDWUC6S2M,JRTCKXETXF,2UNEBVJWDWUC6S2M.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5d.16xlarge SUSE usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1000000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5d.16xlarge,Yes,General purpose,64,Intel Xeon Platinum 8175,3.1 GHz,256 GiB,4 x 600 NVMe SSD,20 Gigabit,64-bit,Host,SUSE,No License required,BoxUsage:m5d.16xlarge,RunInstances:000g,Used-Outpost-m5d.16xlarge-SUSE,10000 Mbps,256,Yes,,NA,Yes,Yes,Yes,128,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2VKTSUHFP5KZZN35,JRTCKXETXF,2VKTSUHFP5KZZN35.JRTCKXETXF.6YS6EN2CT7,OnDemand,r5d.large Linux with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.0680000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,r5d.large,Yes,Memory optimized,2,Intel Xeon Platinum 8175,3.1 GHz,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:r5d.large,RunInstances:0200,Used-Outpost-r5d.large-Linux with SQL Web,Up to 2120 Mbps,10,Yes,,NA,Yes,Yes,Yes,4,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
328K3ZQNH4K6P4GQ,JRTCKXETXF,328K3ZQNH4K6P4GQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,c5d.2xlarge Windows usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.3680000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,c5d.2xlarge,Yes,Compute optimized,8,Intel Xeon Platinum 8124M,3.4 GHz,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:c5d.2xlarge,RunInstances:0002,Used-Outpost-c5d.2xlarge-Windows,Up to 2250 Mbps,39,Yes,,NA,Yes,Yes,Yes,16,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
32CQDFU2E4SJP7XD,JRTCKXETXF,32CQDFU2E4SJP7XD.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5d.large Windows with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1600000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5d.large,Yes,General purpose,2,Intel Xeon Platinum 8175,3.1 GHz,8 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:m5d.large,RunInstances:0202,Used-Outpost-m5d.large-Windows with SQL Web,Up to 2120 Mbps,10,Yes,,NA,Yes,Yes,Yes,4,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
32GQ8W3F8TJCD93T,JRTCKXETXF,32GQ8W3F8TJCD93T.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.xlarge Linux usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.0000000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.xlarge,Yes,Storage optimized,4,Intel Xeon Platinum 8175,3.1 GHz,32 GiB,1 x 2500 NVMe SSD,Up to 25 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:i3en.xlarge,RunInstances,Used-Outpost-i3en.xlarge-Linux,Up to 3500 Mbps,NA,Yes,,NA,Yes,Yes,Yes,8,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
34HYRJCCEQXSZFJA,JRTCKXETXF,34HYRJCCEQXSZFJA.JRTCKXETXF.6YS6EN2CT7,OnDemand,c5.xlarge Windows usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1840000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,c5.xlarge,Yes,Compute optimized,4,Intel Xeon Platinum 8124M,3.4 GHz,8 GiB,EBS only,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:c5.xlarge,RunInstances:0002,Used-Outpost-c5.xlarge-Windows,Up to 2250 Mbps,20,Yes,,NA,Yes,Yes,Yes,8,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
36X9G8C6BGDPK5JB,JRTCKXETXF,36X9G8C6BGDPK5JB.JRTCKXETXF.6YS6EN2CT7,OnDemand,r5.4xlarge Windows with SQL Server Enterprise usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,6.7360000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,r5.4xlarge,Yes,Memory optimized,16,Intel Xeon Platinum 8175,3.1 GHz,128 GiB,EBS only,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:r5.4xlarge,RunInstances:0102,Used-Outpost-r5.4xlarge-Windows with SQL Server Enterprise,4750 Mbps,70,Yes,,NA,Yes,Yes,Yes,32,BoxUsage,SQL Ent,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
389UEQ6HMSKKKS46,JRTCKXETXF,389UEQ6HMSKKKS46.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.large Windows with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1600000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.large,Yes,Storage optimized,2,Intel Xeon Platinum 8175,3.1 GHz,16 GiB,1 x 1250 NVMe SSD,Up to 25 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:i3en.large,RunInstances:0202,Used-Outpost-i3en.large-Windows with SQL Web,Up to 3500 Mbps,10,Yes,,NA,Yes,Yes,Yes,4,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
39Q6WZJ96YWXDAGJ,JRTCKXETXF,39Q6WZJ96YWXDAGJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.xlarge Windows usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1840000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.xlarge,Yes,Storage optimized,4,Intel Xeon Platinum 8175,3.1 GHz,32 GiB,1 x 2500 NVMe SSD,Up to 25 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:i3en.xlarge,RunInstances:0002,Used-Outpost-i3en.xlarge-Windows,Up to 3500 Mbps,NA,Yes,,NA,Yes,Yes,Yes,8,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
3ARZDX56XBJQJ42A,JRTCKXETXF,3ARZDX56XBJQJ42A.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.metal-2tb Windows with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,15.9360000000,USD,Compute Instance (bare metal),AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.metal-2tb,Yes,Storage optimized,96,Intel Xeon Platinum 8175,3.1 GHz,768 GiB,32 x 2000 NVMe SSD,100 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:i3en.metal-2tb,RunInstances:0006,Used-Outpost-i3en.metal-2tb-Windows with SQL Std,19000 Mbps,NA,Yes,,NA,Yes,Yes,Yes,192,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
3BVZ9PMQZXCDQ85K,JRTCKXETXF,3BVZ9PMQZXCDQ85K.JRTCKXETXF.6YS6EN2CT7,OnDemand,r5.2xlarge Windows with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.5030000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,r5.2xlarge,Yes,Memory optimized,8,Intel Xeon Platinum 8175,3.1 GHz,64 GiB,EBS only,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:r5.2xlarge,RunInstances:0202,Used-Outpost-r5.2xlarge-Windows with SQL Web,Up to 4750 Mbps,37,Yes,,NA,Yes,Yes,Yes,16,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
3CFUDZD66YTW97AN,JRTCKXETXF,3CFUDZD66YTW97AN.JRTCKXETXF.6YS6EN2CT7,OnDemand,g4dn.12xlarge Linux with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,5.7600000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,g4dn.12xlarge,Yes,GPU instance,48,Intel Xeon Family,2.5 GHz,192 GiB,900 GB NVMe SSD,50 Gigabit,64-bit,Host,Linux,License Included,BoxUsage:g4dn.12xlarge,RunInstances:0004,Used-Outpost-g4dn.12xlarge-Linux_SQL_Web,7000 Mbps,NA,Yes,4,64 GB,Yes,Yes,Yes,7.437262357,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
3DR3G953AD8A77F2,JRTCKXETXF,3DR3G953AD8A77F2.JRTCKXETXF.6YS6EN2CT7,OnDemand,c5d.2xlarge RHEL usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1300000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,c5d.2xlarge,Yes,Compute optimized,8,Intel Xeon Platinum 8124M,3.4 GHz,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,64-bit,Host,RHEL,No License required,BoxUsage:c5d.2xlarge,RunInstances:0010,Used-Outpost-c5d.2xlarge-RHEL,Up to 2250 Mbps,39,Yes,,NA,Yes,Yes,Yes,16,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
3F5QBY94S5E8TPVJ,JRTCKXETXF,3F5QBY94S5E8TPVJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,r5d.12xlarge Linux with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,5.7600000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,r5d.12xlarge,Yes,Memory optimized,48,Intel Xeon Platinum 8175,3.1 GHz,384 GiB,2 x 900 NVMe SSD,10 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:r5d.12xlarge,RunInstances:0004,Used-Outpost-r5d.12xlarge-Linux with SQL Std,6000 Mbps,168,Yes,,NA,Yes,Yes,Yes,96,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
3GRYJ45VS9GWMNYP,JRTCKXETXF,3GRYJ45VS9GWMNYP.JRTCKXETXF.6YS6EN2CT7,OnDemand,c5.12xlarge Windows with SQL Server Enterprise usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,20.2080000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,c5.12xlarge,Yes,Compute optimized,48,Intel Xeon Platinum 8275L,3.4 GHz,96 GiB,EBS only,12 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:c5.12xlarge,RunInstances:0102,Used-Outpost-c5.12xlarge-Windows with SQL Server Enterprise,7000 Mbps,188,Yes,,NA,Yes,Yes,Yes,96,BoxUsage,SQL Ent,Intel AVX; Intel AVX2; Intel AVX512; Intel Deep Learning Boost; Intel Turbo,us-east-1,AWS Outposts
3HB75MY24UYFCPJQ,JRTCKXETXF,3HB75MY24UYFCPJQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5d.8xlarge Linux with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,3.8400000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5d.8xlarge,Yes,General purpose,32,Intel Xeon Platinum 8175,3.1 GHz,128 GiB,2 x 600 NVMe SSD,10 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:m5d.8xlarge,RunInstances:0004,Used-Outpost-m5d.8xlarge-Linux with SQL Std,5000 Mbps,128,Yes,,NA,Yes,Yes,Yes,64,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
3JPZJB8B8GSED3UH,JRTCKXETXF,3JPZJB8B8GSED3UH.JRTCKXETXF.6YS6EN2CT7,OnDemand,g4dn.2xlarge RHEL usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1300000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,g4dn.2xlarge,Yes,GPU instance,8,Intel Xeon Family,2.5 GHz,32 GiB,225 GB NVMe SSD,Up to 25 Gigabit,64-bit,Host,RHEL,No License required,BoxUsage:g4dn.2xlarge,RunInstances:0010,Used-Outpost-g4dn.2xlarge-RHEL,3500 Mbps,NA,Yes,1,16 GB,Yes,Yes,Yes,1.429657795,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
